ts,sensor_id,pm25,pm10,no2,o3,so2,co,nh3,c6h6,temp,hum
2026-01-01T00:00,19,8.8,13.9,29.8,0.0,3.7,0.397,0.0,0.0,7.0,77
2026-01-01T01:00,19,7.7,12.5,21.2,0.0,3.3,0.331,0.0,0.0,7.1,79
2026-01-01T02:00,19,6.7,11.7,19.7,0.0,3.3,0.315,0.0,0.0,6.0,79
2026-01-01T03:00,19,6.2,11.6,20.6,0.0,3.2,0.32,0.0,0.0,6.8,79
2026-01-01T04:00,19,6.6,12.5,24.6,0.0,3.6,0.38,0.0,0.0,7.1,73
2026-01-01T05:00,19,9.0,15.5,33.7,0.0,3.8,0.475,0.0,0.0,8.0,80
2026-01-01T06:00,19,11.5,19.7,43.0,0.0,4.2,0.617,0.0,0.0,8.6,72
2026-01-01T07:00,19,12.7,26.3,63.4,0.0,4.7,0.922,0.0,0.0,8.4,73
2026-01-01T08:00,19,11.3,24.5,59.0,0.0,4.5,0.883,0.0,0.0,10.3,71
2026-01-01T09:00,19,10.9,22.0,46.0,0.0,4.6,0.648,0.0,0.0,10.9,70
2026-01-01T10:00,19,8.7,17.4,40.2,0.0,4.4,0.615,0.0,0.0,12.1,68
2026-01-01T11:00,19,8.1,16.6,32.2,0.0,4.1,0.49,0.0,0.0,11.9,66
2026-01-01T12:00,19,7.6,15.8,30.6,0.0,4.3,0.459,0.0,0.0,12.9,65
2026-01-01T13:00,19,6.6,13.5,31.3,0.0,4.4,0.459,0.0,0.0,13.4,63
2026-01-01T14:00,19,7.6,16.4,31.4,0.0,4.4,0.445,0.0,0.0,12.6,62
2026-01-01T15:00,19,7.5,17.5,35.2,0.0,4.4,0.505,0.0,0.0,13.3,65
2026-01-01T16:00,19,9.2,20.3,39.2,0.0,4.5,0.607,0.0,0.0,13.2,66
2026-01-01T17:00,19,10.5,22.6,44.8,0.0,3.9,0.717,0.0,0.0,12.1,68
2026-01-01T18:00,19,8.5,19.8,46.1,0.0,3.7,0.609,0.0,0.0,11.7,67
2026-01-01T19:00,19,6.3,16.4,37.5,0.0,4.0,0.521,0.0,0.0,11.2,69
2026-01-01T20:00,19,5.7,13.1,29.9,0.0,3.9,0.464,0.0,0.0,9.7,70
2026-01-01T21:00,19,4.8,12.4,22.4,0.0,3.5,0.324,0.0,0.0,9.2,74
2026-01-01T22:00,19,4.9,11.2,20.4,0.0,3.8,0.282,0.0,0.0,8.9,77
2026-01-01T23:00,19,3.8,10.5,18.6,0.0,3.2,0.277,0.0,0.0,7.3,79
2026-01-01T00:00,20,8.6,14.0,29.9,0.0,4.5,0.213,0.0,0.9,7.3,78
2026-01-01T01:00,20,7.4,12.2,20.3,0.0,4.3,0.165,0.0,0.7,6.1,79
2026-01-01T02:00,20,6.4,11.3,22.8,0.0,4.0,0.149,0.0,0.7,6.6,83
2026-01-01T03:00,20,6.1,12.0,20.7,0.0,4.0,0.164,0.0,0.6,6.4,84
2026-01-01T04:00,20,7.4,12.4,22.9,0.0,4.3,0.172,0.0,0.8,7.2,81
2026-01-01T05:00,20,9.0,14.6,36.2,0.0,4.4,0.247,0.0,1.0,7.5,77
2026-01-01T06:00,20,11.8,17.8,44.7,0.0,4.6,0.373,0.0,1.3,7.8,81
2026-01-01T07:00,20,15.0,25.2,69.1,0.0,5.1,0.482,0.0,1.8,9.7,72
2026-01-01T08:00,20,12.5,21.8,71.6,0.0,5.8,0.46,0.0,1.6,9.9,75
2026-01-01T09:00,20,11.3,21.2,46.5,0.0,5.0,0.362,0.0,1.1,10.3,69
2026-01-01T10:00,20,9.5,15.6,43.6,0.0,5.6,0.297,0.0,1.0,11.2,68
2026-01-01T11:00,20,8.9,15.8,36.9,0.0,4.8,0.32,0.0,0.8,12.2,65
2026-01-01T12:00,20,7.0,14.2,36.6,0.0,4.8,0.285,0.0,0.8,13.3,65
2026-01-01T13:00,20,7.4,13.3,33.0,0.0,5.0,0.282,0.0,0.7,13.5,64
2026-01-01T14:00,20,7.9,13.9,33.3,0.0,5.1,0.279,0.0,0.7,13.6,63
2026-01-01T15:00,20,7.9,14.8,41.1,0.0,4.9,0.302,0.0,0.8,13.5,66
2026-01-01T16:00,20,9.7,18.9,45.4,0.0,4.6,0.366,0.0,0.8,13.0,66
2026-01-01T17:00,20,12.3,20.2,58.0,0.0,4.9,0.453,0.0,1.1,12.1,67
2026-01-01T18:00,20,8.5,16.9,51.7,0.0,4.3,0.441,0.0,0.8,11.1,68
2026-01-01T19:00,20,8.1,14.0,45.2,0.0,4.1,0.348,0.0,0.7,10.7,73
2026-01-01T20:00,20,6.7,11.9,36.4,0.0,4.0,0.303,0.0,0.6,10.2,69
2026-01-01T21:00,20,5.6,12.3,30.7,0.0,3.4,0.241,0.0,0.4,9.1,75
2026-01-01T22:00,20,5.4,10.4,24.9,0.0,3.5,0.202,0.0,0.3,8.0,75
2026-01-01T23:00,20,4.7,9.8,21.8,0.0,3.3,0.203,0.0,0.3,7.5,77
2026-01-01T00:00,21,0.0,8.5,9.8,31.5,5.8,0.139,0.0,0.0,6.3,78
2026-01-01T01:00,21,0.0,6.7,7.8,24.8,5.9,0.113,0.0,0.0,7.1,79
2026-01-01T02:00,21,0.0,6.8,7.8,24.9,6.1,0.113,0.0,0.0,7.0,78
2026-01-01T03:00,21,0.0,6.6,7.6,24.3,5.8,0.111,0.0,0.0,5.9,79
2026-01-01T04:00,21,0.0,7.8,9.6,33.8,6.5,0.129,0.0,0.0,6.6,77
2026-01-01T05:00,21,0.0,9.6,11.6,43.7,6.0,0.182,0.0,0.0,7.4,80
2026-01-01T06:00,21,0.0,12.8,17.6,56.9,6.9,0.223,0.0,0.0,7.9,76
2026-01-01T07:00,21,0.0,18.2,25.4,81.8,8.3,0.309,0.0,0.0,8.6,73
2026-01-01T08:00,21,0.0,16.4,22.4,98.5,9.0,0.332,0.0,0.0,10.3,71
2026-01-01T09:00,21,0.0,14.7,17.2,124.1,7.6,0.223,0.0,0.0,10.8,67
2026-01-01T10:00,21,0.0,14.3,15.6,143.4,7.6,0.219,0.0,0.0,11.6,67
2026-01-01T11:00,21,0.0,11.2,13.0,155.0,7.9,0.211,0.0,0.0,12.1,70
2026-01-01T12:00,21,0.0,11.8,11.7,164.9,8.0,0.182,0.0,0.0,13.0,64
2026-01-01T13:00,21,0.0,12.3,11.4,146.0,7.4,0.171,0.0,0.0,13.1,64
2026-01-01T14:00,21,0.0,13.3,11.4,147.2,7.7,0.194,0.0,0.0,13.8,64
2026-01-01T15:00,21,0.0,15.1,12.2,120.0,7.9,0.217,0.0,0.0,13.6,62
2026-01-01T16:00,21,0.0,18.2,14.7,98.1,7.2,0.244,0.0,0.0,13.3,66
2026-01-01T17:00,21,0.0,19.9,18.6,86.0,7.4,0.317,0.0,0.0,12.8,66
2026-01-01T18:00,21,0.0,17.7,18.0,78.3,7.2,0.286,0.0,0.0,12.1,68
2026-01-01T19:00,21,0.0,13.3,14.7,64.9,6.5,0.24,0.0,0.0,10.6,67
2026-01-01T20:00,21,0.0,12.6,12.6,52.9,6.0,0.209,0.0,0.0,10.5,71
2026-01-01T21:00,21,0.0,12.1,9.4,45.8,6.2,0.162,0.0,0.0,9.7,72
2026-01-01T22:00,21,0.0,12.3,7.3,37.6,6.0,0.142,0.0,0.0,7.9,77
2026-01-01T23:00,21,0.0,9.8,7.3,36.2,5.6,0.147,0.0,0.0,7.5,79
2026-01-01T00:00,22,0.0,17.3,41.6,0.0,3.6,0.377,0.0,1.0,6.3,79
2026-01-01T01:00,22,0.2,15.0,33.6,0.0,3.2,0.313,0.0,0.8,6.7,80
2026-01-01T02:00,22,0.4,13.8,35.5,0.0,3.5,0.317,0.0,0.7,6.1,80
