date,wind_speed_ms_avg,wind_direction_deg_avg,wind_gusts_ms_max,wind_u_avg,wind_v_avg
2026-01-01,1.978,256.2,6,0.9459,0.2322
2026-01-02,5.087,199.4,14.6,1.6494,4.6729
2026-01-03,6.083,217.6,16.3,3.6143,4.6961
2026-01-04,3.755,177,12.7,-0.1682,3.1716
2026-01-05,6.257,159.1,21.1,-2.0969,5.492
2026-01-06,2.955,170.2,14.8,-0.217,1.2557
2026-01-07,2.022,335.9,11.9,0.4329,-0.9662
2026-01-08,5.113,301.3,15.2,4.3082,-2.6182
2026-01-09,2.55,205.6,12.5,0.6091,1.269
2026-01-10,5.311,250.5,17,4.5435,1.6048
2026-01-11,5.848,317.4,16,3.8932,-4.2321
2026-01-12,4.096,337,16,1.5557,-3.6706
2026-01-13,0.958,37.1,4.6,-0.1385,-0.1834
2026-01-14,1.019,74,5,-0.5777,-0.1654
2026-01-15,1.334,42.7,5.3,-0.4642,-0.5038
2026-01-16,1.287,31.4,6.9,-0.3995,-0.6534
2026-01-17,2.79,75.2,8.5,-2.5098,-0.6615
2026-01-18,2.376,83,5.8,-2.1011,-0.2571
2026-01-19,3.655,77.8,10,-3.452,-0.7447
2026-01-20,3.355,86.4,9.5,-3.0845,-0.1922
2026-01-21,5.798,75.7,14.4,-5.0453,-1.2844
2026-01-22,1.371,75.3,9.6,-0.5111,-0.1344
2026-01-23,1.573,76.2,5,-1.0425,-0.2555
2026-01-24,2.597,156.5,9.8,-0.9481,2.1842
2026-01-25,7.103,165,20.2,-1.5191,5.6881
2026-01-26,1.215,356.1,5.7,0.0246,-0.3563
2026-01-27,2.872,284.5,9,2.4592,-0.6365
2026-01-28,3.917,187.6,15.2,0.4276,3.2185
2026-01-29,2.59,324.8,9,0.6742,-0.9567
2026-01-30,1.336,332.6,5.1,0.2868,-0.5523
2026-01-31,2.306,89.8,8.8,-1.8503,-0.007
